Voltage,Current,State
-2.1702609062194824,3.0,0
-2.1485648155212402,3.0,0
-2.130492687225342,3.0,0
-2.1176657676696777,3.0,0
-2.110227108001709,3.0,0
-2.1066508293151855,3.0,0
-2.1086535453796387,3.0,0
-2.116330623626709,3.0,0
-2.1262011528015137,3.0,0
-2.1409354209899902,3.0,0
-2.15919828414917,3.0,0
-2.181657314300537,3.0,0
-2.2105064392089844,3.0,0
-2.2439804077148438,3.0,0
-2.2824137210845947,3.0,0
-2.3232309818267822,3.0,0
-2.368483066558838,3.0,0
-2.41778826713562,3.0,0
-2.4672839641571045,3.0,0
-2.520594596862793,3.0,0
-2.5788166522979736,3.0,0
-2.641282558441162,3.0,0
-2.7101857662200928,3.0,0
-2.7801380157470703,3.0,0
-2.8524270057678223,3.0,0
-2.925144910812378,3.0,0
-3.0029172897338867,3.0,0
-3.0826447010040283,3.0,0
-3.1630399227142334,3.0,0
-3.247011184692383,3.0,0
-3.3271677494049072,3.0,0
-3.407992124557495,3.0,0
-3.488959312438965,3.0,0
-3.5744564533233643,3.0,0
-3.658332586288452,3.0,0
-3.742399215698242,3.0,0
